,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,755","43,837","34,744","23,381","31,062","37,236","49,016","58,424","69,799","79,773","83,956","87,011","88,139","94,868","45,189","157,600","110,183","108,576","95,881","126,270","244,700","240,635","200,096","152,060","144,162","148,600","169,063","170,906","172,929","174,792","174,587","168,262","163,051","158,048","154,101","150,874","148,418","145,520","143,091","141,181","140,414","139,182"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Mali,,,,,67.16%,42.92%,32.75%,27.63%,27.97%,25.53%,24.51%,24.45%,30.89%,44.71%,21.76%,30.65%,12.78%,12.39%,13.49%,13.07%,17.39%,13.76%,16.70%,17.15%,17.92%,21.14%,13.52%,16.32%,12.36%,10.41%,10.23%,15.04%,7.58%,5.39%,6.74%,6.08%,2.90%,4.54%,6.33%,4.68%,5.47%,14.39%,9.57%,5.38%,6.17%,9.97%,8.51%,5.00%,3.48%,9.18%,11.95%,9.32%,5.47%,5.21%,4.97%,4.59%,4.05%,3.35%,2.69%,0.75%,0.60%,0.60%,0.60%,0.59%,0.59%,0.59%,-4.84%,5.35%,2.56%,1.15%,0.77%,0.76%,0.76%,0.75%,0.77%,0.76%,0.75%,0.75%,0.76%,0.75%,0.75%,0.74%,0.75%,0.75%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69%,42.17%,38.36%,22.59%,17.17%,15.41%,15.37%,13.19%,12.87%,16.67%,16.53%,14.14%,13.69%,14.02%,9.26%,15.04%,8.13%,12.26%,9.03%,8.22%,7.16%,7.48%,10.15%,9.02%,7.18%,5.64%,5.46%,5.06%,5.12%,4.83%,4.63%,4.44%,4.22%,3.91%,3.71%,3.52%,3.35%,3.17%,3.06%,2.95%,2.84%,2.73%,2.66%,2.59%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69%,19.77%,14.18%,10.10%,11.37%,16.22%,14.57%,10.56%,8.32%,14.70%,14.32%,10.45%,11.21%,13.48%,5.72%,17.92%,11.02%,7.54%,7.73%,7.20%,6.85%,5.71%,3.43%,3.16%,3.27%,3.75%,4.44%,3.68%,3.12%,2.79%,2.68%,2.54%,2.40%,2.29%,2.35%,2.38%,2.36%,2.25%,2.29%,2.31%,2.28%,2.22%,2.20%,2.21%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.64%,51.08%,26.80%,14.22%,16.54%,17.01%,19.14%,19.15%,19.20%,18.41%,16.36%,14.57%,12.88%,12.29%,5.21%,17.28%,10.30%,9.20%,7.44%,9.12%,16.20%,13.71%,10.02%,6.92%,6.14%,5.96%,6.40%,6.08%,5.80%,5.54%,5.24%,4.80%,4.44%,4.12%,3.86%,3.64%,3.45%,3.27%,3.12%,2.98%,2.88%,2.77%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Mali,,,,,,,,304.80%,209.89%,172.19%,155.28%,148.92%,154.59%,193.49%,187.03%,201.31%,159.64%,101.64%,87.94%,62.65%,69.29%,71.36%,76.21%,82.58%,83.39%,95.29%,89.96%,88.61%,79.73%,63.82%,59.07%,57.32%,50.63%,43.77%,39.22%,28.38%,22.79%,21.81%,21.34%,19.74%,22.73%,34.30%,38.39%,39.31%,40.23%,34.80%,33.50%,33.02%,29.66%,28.73%,32.81%,38.26%,40.92%,35.80%,27.33%,21.82%,20.18%,18.06%,15.49%,11.25%,7.56%,4.70%,2.57%,2.41%,2.40%,2.38%,-3.15%,1.43%,3.42%,4.01%,10.14%,5.34%,3.48%,3.07%,3.07%,3.07%,3.06%,3.06%,3.06%,3.05%,3.05%,3.04%,3.04%,3.03%
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.50%,98.33%,143.64%,169.33%,182.54%,129.35%,91.23%,76.56%,70.09%,71.95%,73.68%,75.15%,76.42%,72.41%,61.65%,62.94%,54.96%,52.58%,52.26%,43.23%,41.95%,35.90%,37.29%,38.30%,38.34%,35.97%,30.18%,25.46%,23.04%,22.10%,21.14%,20.42%,19.38%,18.35%,17.31%,16.28%,15.31%,14.48%,13.76%,13.14%,12.58%,12.10%,11.66%,11.27%
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.50%,67.08%,69.38%,68.17%,67.69%,62.72%,63.28%,63.97%,59.48%,57.39%,57.03%,56.87%,61.06%,59.35%,47.36%,57.34%,57.06%,48.84%,51.67%,37.87%,32.70%,30.43%,25.23%,20.51%,16.47%,14.32%,15.43%,16.02%,15.84%,14.77%,12.84%,11.59%,10.82%,10.28%,9.94%,9.77%,9.73%,9.68%,9.61%,9.52%,9.44%,9.40%,9.32%,9.21%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.61%,155.00%,97.51%,85.58%,93.59%,98.00%,100.36%,95.69%,88.18%,78.21%,68.99%,52.79%,56.40%,52.82%,48.62%,51.77%,41.21%,48.76%,54.90%,58.63%,55.43%,41.98%,32.31%,27.95%,26.94%,26.54%,26.04%,24.67%,23.17%,21.58%,19.95%,18.37%,17.05%,15.95%,15.00%,14.18%,13.45%,12.83%,12.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
