,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Swaziland,,10.35%,10.32%,10.30%,10.26%,10.23%,9.22%,17.89%,14.96%,6.88%,6.38%,3.73%,3.58%,6.87%,6.37%,11.82%,-3.14%,6.50%,24.76%,13.82%,7.27%,14.33%,11.76%,9.30%,4.40%,4.53%,6.72%,4.25%,5.53%,9.59%,8.99%,5.42%,3.84%,11.78%,7.74%,2.94%,4.36%,1.40%,7.03%,5.34%,2.77%,0.31%,2.06%,6.54%,1.46%,1.44%,1.42%,1.40%,3.05%,0.16%,0.16%,2.15%,1.55%,1.70%,3.35%,0.69%,0.69%,0.68%,1.44%,1.42%,2.35%,2.21%,2.15%,2.09%,2.01%,1.92%,1.85%,1.80%,3.60%,2.22%,1.68%,1.60%,1.54%,1.27%,1.15%,1.11%,1.07%,0.98%,0.93%,0.90%,0.86%,0.81%,0.77%,0.74%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.33%,19.59%,134.19%,120.96%,79.67%,52.96%,44.02%,42.92%,31.44%,26.33%,23.13%,21.73%,17.25%,15.26%,14.00%,13.36%,3.06%,10.81%,3.90%,4.60%,2.73%,3.11%,3.27%,5.81%,5.50%,5.98%,5.86%,5.30%,4.66%,4.19%,3.97%,3.81%,3.62%,3.38%,3.24%,3.12%,2.97%,2.79%,2.69%,2.59%,2.48%,2.36%,2.25%,2.17%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.33%,19.59%,134.19%,120.96%,79.67%,52.96%,44.02%,35.81%,27.77%,23.81%,21.34%,20.42%,16.19%,14.31%,13.28%,11.79%,0.57%,8.92%,2.00%,0.62%,-0.02%,-1.09%,-0.45%,2.34%,1.69%,2.05%,2.04%,1.60%,0.99%,0.56%,0.37%,0.20%,0.00%,-0.27%,-0.37%,-0.45%,-0.56%,-0.73%,-0.77%,-0.79%,-0.83%,-0.90%,-0.93%,-0.91%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55%,56.85%,40.27%,32.53%,25.15%,21.87%,18.68%,23.15%,17.18%,20.04%,12.25%,20.60%,11.94%,15.67%,12.79%,13.65%,13.24%,13.16%,12.16%,10.84%,9.69%,8.79%,8.18%,7.72%,7.26%,6.80%,6.41%,6.05%,5.70%,5.35%,5.05%,4.78%,4.51%,4.25%,4.01%,3.79%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Swaziland,,,,,48.06%,47.89%,46.41%,56.49%,63.16%,58.20%,54.10%,35.59%,22.17%,22.16%,22.14%,31.67%,23.12%,22.70%,43.91%,46.49%,62.23%,74.15%,56.01%,49.81%,45.80%,33.30%,27.29%,21.41%,22.73%,28.66%,31.40%,32.87%,30.74%,33.35%,31.83%,28.73%,29.38%,17.37%,16.59%,19.32%,17.50%,16.24%,10.84%,12.10%,10.68%,11.92%,11.22%,5.86%,7.51%,6.15%,4.83%,5.60%,4.06%,5.66%,9.03%,7.47%,6.56%,5.50%,3.55%,4.30%,6.02%,7.63%,8.39%,9.10%,8.74%,8.42%,8.10%,7.79%,9.47%,9.79%,9.61%,9.40%,7.21%,6.22%,5.67%,5.16%,4.68%,4.38%,4.16%,3.95%,3.73%,3.55%,3.38%,3.22%
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.43%,-77.01%,-17.79%,232.15%,1011.90%,1322.10%,774.51%,465.64%,313.81%,241.76%,192.20%,148.87%,122.00%,102.56%,87.53%,74.63%,53.50%,47.58%,34.50%,24.11%,23.72%,15.12%,14.43%,15.75%,18.87%,22.18%,25.25%,24.64%,23.64%,21.56%,19.38%,17.70%,16.53%,15.62%,14.81%,14.04%,13.33%,12.69%,12.08%,11.51%,10.98%,10.51%,10.04%,9.59%
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.43%,-77.01%,-17.79%,232.15%,1011.90%,1322.10%,774.51%,437.50%,282.24%,209.39%,160.67%,131.14%,110.20%,94.08%,81.20%,68.21%,45.58%,38.71%,24.90%,12.42%,11.76%,1.50%,-0.95%,0.74%,2.47%,5.72%,8.36%,7.58%,6.83%,5.27%,3.55%,2.13%,1.13%,0.31%,-0.43%,-1.08%,-1.64%,-2.10%,-2.49%,-2.82%,-3.09%,-3.25%,-3.40%,-3.52%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.66%,264.90%,183.53%,139.90%,122.92%,108.73%,105.60%,94.46%,90.43%,81.90%,75.28%,76.11%,65.97%,67.90%,64.25%,63.34%,59.30%,54.30%,48.34%,43.08%,39.05%,35.98%,33.49%,31.31%,29.28%,27.40%,25.66%,24.05%,22.56%,21.18%,19.91%,18.72%,17.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",0,Total,,Swaziland,2.03%,2.23%,2.46%,2.71%,2.98%,3.27%,3.57%,4.20%,4.82%,5.14%,5.46%,5.66%,5.85%,6.24%,6.63%,7.40%,7.16%,7.61%,9.48%,10.76%,11.52%,13.14%,14.64%,15.96%,16.61%,17.31%,18.40%,19.11%,20.10%,21.94%,23.81%,25.00%,25.85%,28.78%,30.87%,31.65%,32.89%,33.21%,35.40%,37.13%,38.00%,37.97%,38.59%,40.95%,41.39%,41.82%,42.24%,42.67%,43.80%,43.69%,43.60%,44.36%,44.88%,45.47%,46.82%,46.97%,47.12%,47.27%,47.78%,48.29%,49.26%,50.17%,51.08%,51.98%,52.85%,53.69%,54.51%,55.31%,57.13%,58.21%,59.02%,59.78%,60.52%,61.11%,61.64%,62.15%,62.64%,63.07%,63.48%,63.88%,64.25%,64.59%,64.91%,65.22%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13%,0.15%,0.36%,0.78%,1.40%,2.13%,3.06%,4.36%,5.70%,7.18%,8.80%,10.68%,12.47%,14.32%,16.26%,18.37%,18.86%,20.82%,21.56%,22.47%,23.01%,23.64%,24.33%,25.66%,26.98%,28.50%,30.08%,31.58%,32.95%,34.22%,35.48%,36.72%,37.94%,39.10%,40.26%,41.39%,42.50%,43.57%,44.61%,45.64%,46.65%,47.62%,48.56%,49.48%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13%,0.15%,0.36%,0.78%,1.40%,2.13%,3.06%,4.14%,5.27%,6.50%,7.85%,9.42%,10.91%,12.42%,14.02%,15.61%,15.64%,16.98%,17.26%,17.30%,17.24%,16.99%,16.86%,17.20%,17.43%,17.73%,18.03%,18.26%,18.39%,18.43%,18.44%,18.43%,18.37%,18.27%,18.15%,18.02%,17.87%,17.69%,17.50%,17.32%,17.12%,16.92%,16.72%,16.52%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22%,0.44%,0.68%,0.95%,1.25%,1.56%,1.90%,2.24%,2.75%,3.22%,3.85%,4.30%,5.17%,5.77%,6.65%,7.47%,8.47%,9.55%,10.78%,12.05%,13.31%,14.56%,15.79%,17.03%,18.29%,19.56%,20.83%,22.10%,23.37%,24.64%,25.88%,27.11%,28.33%,29.52%,30.69%,31.84%,32.95%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",0,Total,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"662,000","664,000","679,000","726,000","678,000","718,000","710,000","767,000","788,000","782,000","791,000","806,250","817,439","829,674","852,960","812,300","814,660","870,046","930,487","892,000","918,583","896,215","927,912","1,000,675","937,494","926,362","967,654","1,027,289","1,062,668","1,087,339","1,107,143","1,126,870","1,146,604","1,163,681","1,179,766","1,195,906","1,212,031","1,227,290","1,242,351","1,257,357","1,272,171","1,286,555","1,300,673","1,314,676"
190,"Connections, including cellular M2M",0,Total,455,MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"662,000","664,000","679,000","726,000","678,000","718,000","710,000","767,000","788,000","782,000","791,000","806,250","817,439","829,674","852,960","812,300","814,660","870,046","930,487","892,000","918,583","896,215","927,912","1,000,675","937,494","926,362","967,654","1,027,289","1,062,668","1,087,339","1,107,143","1,126,870","1,146,604","1,163,681","1,179,766","1,195,906","1,212,031","1,227,290","1,242,351","1,257,357","1,272,171","1,286,555","1,300,673","1,314,676"
190,"Connections, including cellular M2M",1251,Cellular M2M,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,439,674,960,"1,300","1,660","2,046","2,487","3,000","3,583","4,215","4,912","5,675","6,494","7,362","8,289","9,289","10,352","11,452","12,625","13,870","15,176","16,514","17,924","19,406","20,947","22,513","24,150","25,857","27,617","29,410","31,256","33,176"
190,"Connections, including cellular M2M",1251,Cellular M2M,455,MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,439,674,960,"1,300","1,660","2,046","2,487","3,000","3,583","4,215","4,912","5,675","6,494","7,362","8,289","9,289","10,352","11,452","12,625","13,870","15,176","16,514","17,924","19,406","20,947","22,513","24,150","25,857","27,617","29,410","31,256","33,176"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,"% connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,"% connections, including cellular M2M",1251,Cellular M2M,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03%,0.05%,0.08%,0.11%,0.16%,0.20%,0.24%,0.27%,0.34%,0.39%,0.47%,0.53%,0.57%,0.69%,0.79%,0.86%,0.90%,0.97%,1.05%,1.14%,1.23%,1.32%,1.42%,1.52%,1.62%,1.73%,1.83%,1.94%,2.06%,2.17%,2.29%,2.40%,2.52%
312,"% connections, including cellular M2M",1251,Cellular M2M,455,MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03%,0.05%,0.08%,0.11%,0.16%,0.20%,0.24%,0.27%,0.34%,0.39%,0.47%,0.53%,0.57%,0.69%,0.79%,0.86%,0.90%,0.97%,1.05%,1.14%,1.23%,1.32%,1.42%,1.52%,1.62%,1.73%,1.83%,1.94%,2.06%,2.17%,2.29%,2.40%,2.52%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Net additions, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
