,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.70%,9.95%,9.12%,7.61%,22.47%,19.30%,18.18%,15.60%,13.14%,12.33%,14.98%,14.94%,26.06%,23.11%,21.31%,20.22%,9.32%,8.68%,7.65%,6.90%,7.18%,5.86%,6.30%,5.95%,5.79%,5.59%,5.40%,5.21%,4.96%,4.65%,4.47%,4.27%,4.04%,3.78%,3.61%,3.45%,3.27%,3.07%,2.94%,2.81%,2.67%,2.52%,2.39%,2.29%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95%,10.17%,9.33%,7.75%,22.51%,19.53%,18.54%,15.77%,13.07%,10.99%,10.57%,11.19%,24.78%,22.17%,20.70%,20.06%,8.08%,6.70%,6.05%,5.30%,5.88%,4.14%,4.69%,4.58%,4.26%,4.00%,3.75%,3.46%,3.18%,2.92%,2.79%,2.63%,2.45%,2.22%,2.10%,1.97%,1.80%,1.58%,1.46%,1.33%,1.16%,0.98%,0.83%,0.69%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26%,6.63%,5.88%,5.43%,21.71%,15.60%,12.29%,12.62%,14.34%,36.12%,78.73%,48.46%,34.69%,28.96%,24.88%,21.16%,16.35%,19.05%,15.17%,13.82%,12.41%,12.37%,11.92%,10.40%,10.54%,10.21%,9.95%,9.75%,9.30%,8.65%,8.14%,7.69%,7.18%,6.73%,6.36%,6.03%,5.74%,5.47%,5.24%,5.03%,4.84%,4.66%,4.51%,4.37%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Liberia,,,,,,,,,,611.15%,287.64%,191.16%,144.52%,115.01%,94.60%,81.78%,75.44%,76.63%,79.70%,99.66%,125.62%,131.69%,114.61%,104.82%,89.35%,95.95%,108.80%,92.35%,92.11%,62.77%,45.73%,36.69%,24.87%,30.13%,34.39%,37.33%,32.99%,26.63%,31.29%,28.39%,27.78%,28.83%,22.70%,21.27%,19.56%,18.33%,18.55%,18.94%,16.70%,13.66%,10.16%,9.75%,8.84%,8.34%,7.57%,5.60%,4.84%,4.48%,4.38%,3.79%,4.05%,3.38%,2.62%,4.16%,6.21%,8.78%,10.93%,10.55%,9.35%,8.48%,8.02%,7.62%,7.20%,6.85%,6.53%,6.25%,6.00%,5.78%,5.58%,5.40%,5.23%,5.10%,4.96%,4.82%
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74%,57.64%,46.29%,42.92%,58.10%,71.55%,85.81%,99.59%,84.39%,73.62%,68.91%,67.95%,87.13%,105.10%,116.39%,126.34%,96.29%,73.28%,53.77%,36.73%,34.05%,30.57%,28.94%,27.79%,26.13%,25.80%,24.73%,23.86%,22.88%,21.80%,20.72%,19.65%,18.59%,17.60%,16.64%,15.72%,14.88%,14.09%,13.35%,12.65%,11.99%,11.39%,10.80%,10.24%
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.11%,55.22%,46.77%,44.00%,59.01%,72.52%,87.04%,100.95%,85.47%,72.22%,60.65%,54.30%,70.27%,87.43%,104.60%,120.91%,91.35%,67.12%,46.83%,28.78%,26.16%,23.12%,21.55%,20.72%,18.88%,18.72%,17.65%,16.38%,15.18%,13.99%,12.94%,12.03%,11.24%,10.47%,9.73%,9.03%,8.34%,7.67%,7.00%,6.32%,5.66%,5.03%,4.37%,3.71%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.10%,39.28%,27.67%,44.88%,57.06%,66.57%,77.94%,67.16%,96.83%,213.28%,312.96%,386.46%,360.87%,222.01%,162.80%,127.02%,109.58%,93.28%,81.57%,75.41%,65.57%,60.91%,56.08%,53.49%,50.54%,47.88%,47.01%,45.36%,43.30%,40.94%,38.30%,35.61%,33.22%,31.03%,29.00%,27.27%,25.76%,24.44%,23.27%,22.22%,21.30%,20.45%,19.69%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
