,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
180,"Growth rate, unique subscribers, annual",0,Total,,Malawi,,,,,79.55%,71.49%,61.10%,53.34%,47.51%,43.85%,45.45%,47.23%,48.19%,47.92%,48.09%,49.76%,54.05%,59.04%,62.88%,64.29%,65.21%,64.60%,65.61%,69.95%,74.81%,79.60%,74.65%,71.13%,55.46%,56.11%,60.70%,58.26%,70.03%,76.71%,81.71%,78.26%,66.23%,51.39%,37.49%,29.31%,28.73%,23.53%,22.50%,25.21%,22.95%,20.98%,19.25%,17.73%,16.81%,15.60%,14.16%,12.52%,11.43%,10.45%,9.40%,8.88%,9.58%,10.48%,10.97%,10.74%,9.92%,9.12%,9.02%,9.28%,8.92%,8.46%,7.96%,7.51%,7.15%,6.85%,6.64%,6.44%,6.25%,6.08%,5.91%,5.76%,5.61%,5.48%,5.35%,5.23%,5.11%,5.01%,4.90%,4.79%
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56%,72.18%,71.85%,74.80%,72.19%,69.80%,66.67%,64.12%,61.42%,58.57%,55.23%,51.69%,48.97%,46.31%,43.63%,41.63%,44.32%,46.86%,48.67%,49.37%,45.52%,42.18%,40.02%,38.49%,36.83%,35.32%,33.84%,32.62%,31.59%,30.59%,29.57%,28.40%,27.15%,25.78%,24.30%,22.76%,21.16%,19.68%,18.35%,17.20%,16.19%,15.32%,14.52%,13.81%
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67%,68.01%,64.87%,66.82%,62.01%,57.77%,54.12%,50.79%,48.42%,45.80%,42.83%,39.64%,37.17%,34.80%,32.43%,30.73%,34.19%,37.29%,39.39%,40.08%,35.43%,31.33%,28.48%,26.23%,23.67%,21.13%,18.40%,15.69%,12.98%,10.23%,7.66%,5.30%,3.09%,1.23%,-0.23%,-1.25%,-1.78%,-2.05%,-2.24%,-2.45%,-2.66%,-2.83%,-3.05%,-3.32%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.76%,695.11%,553.81%,363.21%,295.06%,223.48%,182.64%,152.67%,131.40%,116.45%,103.99%,93.43%,85.16%,81.07%,78.55%,76.89%,75.56%,72.62%,69.81%,67.70%,66.08%,64.54%,63.25%,62.21%,61.56%,61.07%,60.32%,58.95%,56.66%,53.89%,50.44%,46.59%,42.50%,38.23%,34.37%,31.08%,28.40%,26.15%,24.26%,22.62%,21.23%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",0,Total,,Malawi,0.19%,0.23%,0.26%,0.30%,0.34%,0.38%,0.41%,0.45%,0.49%,0.53%,0.59%,0.64%,0.71%,0.77%,0.85%,0.94%,1.06%,1.19%,1.34%,1.51%,1.70%,1.91%,2.16%,2.49%,2.90%,3.34%,3.67%,4.14%,4.37%,5.06%,5.73%,6.36%,7.22%,8.68%,10.11%,11.00%,11.65%,12.76%,13.49%,13.81%,14.55%,15.29%,16.03%,16.77%,17.35%,17.94%,18.54%,19.15%,19.66%,20.11%,20.53%,20.89%,21.24%,21.55%,21.78%,22.06%,22.57%,23.08%,23.43%,23.69%,24.06%,24.43%,24.78%,25.11%,25.42%,25.69%,25.94%,26.18%,26.42%,26.63%,26.84%,27.04%,27.23%,27.41%,27.58%,27.75%,27.91%,28.05%,28.20%,28.34%,28.47%,28.60%,28.71%,28.83%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88%,1.01%,1.15%,1.31%,1.48%,1.66%,1.86%,2.08%,2.31%,2.55%,2.80%,3.06%,3.34%,3.62%,3.90%,4.21%,4.67%,5.15%,5.63%,6.10%,6.59%,7.11%,7.64%,8.19%,8.75%,9.33%,9.92%,10.53%,11.17%,11.81%,12.46%,13.12%,13.78%,14.42%,15.03%,15.63%,16.20%,16.74%,17.27%,17.78%,18.27%,18.74%,19.20%,19.64%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87%,0.98%,1.10%,1.24%,1.37%,1.50%,1.65%,1.81%,1.97%,2.13%,2.29%,2.45%,2.62%,2.78%,2.94%,3.11%,3.41%,3.70%,3.97%,4.22%,4.47%,4.71%,4.95%,5.17%,5.36%,5.54%,5.68%,5.80%,5.88%,5.92%,5.93%,5.92%,5.88%,5.81%,5.74%,5.67%,5.60%,5.53%,5.45%,5.37%,5.29%,5.21%,5.13%,5.04%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.02%,0.05%,0.07%,0.11%,0.15%,0.21%,0.27%,0.34%,0.42%,0.51%,0.61%,0.72%,0.84%,0.97%,1.10%,1.27%,1.45%,1.66%,1.88%,2.12%,2.39%,2.69%,3.02%,3.39%,3.79%,4.24%,4.74%,5.29%,5.89%,6.53%,7.20%,7.90%,8.60%,9.29%,9.95%,10.60%,11.22%,11.82%,12.41%,12.98%,13.53%,14.07%,14.60%
