,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166,584","129,239","108,927","153,299","272,355","283,618","246,841","326,458","387,455","585,737","241,099","1,185,747","453,841","990,578","809,952","977,819","756,350","1,537,244","1,469,387","1,329,637","1,611,648","1,909,444","1,678,965","1,932,579","2,031,996","2,130,621","2,238,631","2,361,337","2,473,429","2,572,000","2,689,060","2,810,661","2,923,728","2,997,967","2,954,825","2,879,783","2,796,354","2,687,943","2,616,147","2,556,923","2,497,713","2,435,953","2,390,057","2,361,924"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Nigeria,,,,-22.79%,-6.39%,38.47%,135.42%,263.60%,107.58%,56.54%,34.62%,17.85%,15.06%,10.69%,14.15%,34.65%,37.96%,21.08%,24.37%,31.66%,14.79%,22.33%,18.30%,11.52%,13.81%,10.30%,11.02%,15.38%,8.56%,4.12%,6.28%,0.20%,7.71%,8.63%,8.70%,9.29%,1.21%,2.95%,3.18%,4.14%,3.50%,2.18%,3.54%,4.42%,2.45%,1.18%,1.17%,2.14%,2.73%,2.51%,3.77%,4.33%,2.95%,2.21%,0.72%,4.04%,0.01%,3.48%,1.16%,2.75%,2.84%,2.99%,1.16%,0.45%,0.73%,0.72%,0.71%,2.82%,2.20%,2.06%,2.00%,1.94%,1.85%,1.71%,1.65%,1.62%,1.56%,1.46%,1.42%,1.39%,1.35%,1.29%,1.24%,1.22%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68%,8.33%,8.92%,9.17%,6.86%,5.18%,4.82%,5.59%,5.91%,5.60%,6.15%,7.42%,5.11%,4.58%,2.80%,5.89%,1.06%,4.78%,2.49%,3.84%,4.02%,4.22%,2.36%,3.30%,3.21%,3.10%,3.02%,2.99%,2.92%,2.79%,2.74%,2.71%,2.65%,2.53%,2.44%,2.36%,2.25%,2.12%,2.04%,1.98%,1.90%,1.82%,1.75%,1.70%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31%,8.86%,9.66%,9.71%,6.57%,4.72%,4.52%,5.16%,5.40%,4.46%,6.40%,4.99%,4.76%,2.70%,1.19%,4.65%,-0.63%,2.09%,-0.49%,1.76%,1.46%,1.21%,-0.70%,0.16%,-0.05%,-0.32%,-0.56%,-0.78%,-1.04%,-1.38%,-1.64%,-1.91%,-2.23%,-2.59%,-2.59%,-2.52%,-2.46%,-2.43%,-2.35%,-2.29%,-2.26%,-2.28%,-2.29%,-2.30%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72%,4.88%,3.92%,5.32%,8.97%,8.57%,6.87%,8.50%,9.30%,12.86%,4.69%,22.04%,6.91%,14.11%,10.11%,11.08%,7.72%,14.56%,12.15%,9.80%,10.82%,11.57%,9.12%,9.62%,9.23%,8.86%,8.55%,8.31%,8.03%,7.73%,7.50%,7.30%,7.07%,6.77%,6.25%,5.74%,5.27%,4.81%,4.47%,4.18%,3.92%,3.68%,3.48%,3.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Nigeria,,,,,,,135.61%,1009.53%,2360.40%,2681.52%,1490.58%,415.55%,185.76%,102.06%,71.33%,95.75%,134.72%,156.75%,179.73%,173.53%,127.59%,129.95%,118.73%,85.26%,83.68%,65.62%,55.44%,60.82%,53.39%,44.79%,38.60%,20.37%,19.44%,24.61%,27.45%,39.02%,30.63%,23.79%,17.49%,11.96%,14.49%,13.64%,14.04%,14.35%,13.18%,12.07%,9.51%,7.11%,7.40%,8.81%,11.61%,14.01%,14.26%,13.92%,10.57%,10.26%,7.10%,8.43%,8.91%,7.56%,10.61%,10.09%,10.09%,7.63%,5.41%,3.09%,2.64%,5.05%,6.58%,8.01%,9.39%,8.46%,8.09%,7.71%,7.34%,7.00%,6.69%,6.43%,6.19%,5.96%,5.74%,5.57%,5.38%,5.20%
