,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Benin,,81.66%,98.19%,70.62%,56.45%,35.79%,26.15%,20.54%,16.91%,14.43%,12.64%,11.30%,10.20%,9.28%,8.40%,9.90%,-0.50%,-0.11%,0.61%,2.05%,3.91%,5.27%,6.05%,6.34%,6.56%,10.70%,11.95%,10.38%,15.64%,14.27%,8.26%,12.71%,12.17%,14.22%,7.37%,10.27%,10.42%,11.03%,6.06%,6.34%,3.25%,3.54%,2.90%,4.26%,2.48%,1.98%,1.24%,0.89%,0.88%,0.87%,0.86%,0.86%,0.85%,0.83%,0.83%,4.73%,5.96%,0.48%,0.48%,5.06%,3.71%,1.21%,1.46%,1.44%,1.05%,0.04%,0.04%,1.62%,2.21%,2.84%,3.14%,2.94%,2.55%,2.33%,2.23%,2.17%,2.08%,1.92%,1.84%,1.77%,1.67%,1.56%,1.46%,1.40%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06%,8.52%,9.23%,12.40%,11.91%,12.43%,12.76%,15.31%,13.25%,12.65%,12.20%,17.53%,14.99%,13.07%,11.92%,13.78%,10.58%,11.11%,10.35%,10.92%,10.24%,7.45%,8.05%,7.60%,7.39%,7.13%,6.91%,6.72%,6.51%,6.23%,6.06%,5.87%,5.64%,5.38%,5.25%,5.13%,4.98%,4.78%,4.66%,4.54%,4.40%,4.22%,4.06%,3.94%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06%,8.52%,9.23%,12.40%,11.91%,12.43%,12.76%,15.31%,13.25%,12.65%,12.20%,11.03%,10.70%,10.13%,9.94%,12.41%,7.81%,6.94%,8.00%,9.17%,8.05%,4.68%,5.54%,5.08%,4.92%,4.66%,4.45%,4.26%,4.02%,3.67%,3.46%,3.20%,2.85%,2.43%,2.18%,1.92%,1.60%,1.20%,0.96%,0.74%,0.48%,0.20%,-0.03%,-0.25%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31%,42.63%,27.27%,22.99%,27.58%,32.75%,20.17%,17.50%,17.88%,16.33%,15.27%,14.23%,13.38%,12.65%,12.04%,11.51%,11.03%,10.58%,10.20%,9.86%,9.56%,9.27%,9.04%,8.84%,8.65%,8.41%,8.17%,7.91%,7.63%,7.33%,7.01%,6.76%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Benin,,,,,861.04%,618.37%,357.26%,223.03%,141.39%,103.41%,81.62%,67.71%,58.08%,50.97%,45.30%,43.47%,29.54%,18.41%,9.90%,2.04%,6.56%,12.30%,18.37%,23.35%,26.51%,33.04%,40.44%,45.77%,58.19%,63.28%,57.91%,61.24%,56.41%,56.34%,55.05%,51.69%,49.32%,45.15%,43.39%,38.27%,29.29%,20.57%,16.97%,14.70%,13.85%,12.12%,10.32%,6.75%,5.08%,3.94%,3.54%,3.51%,3.48%,3.44%,3.41%,7.38%,12.82%,12.43%,12.04%,12.39%,9.99%,10.79%,11.88%,8.02%,5.25%,4.04%,2.58%,2.76%,3.94%,6.86%,10.17%,11.60%,11.97%,11.42%,10.43%,9.61%,9.12%,8.68%,8.26%,7.83%,7.39%,7.01%,6.62%,6.23%
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.41%,37.71%,38.86%,42.63%,49.09%,54.46%,59.45%,63.58%,65.54%,65.88%,65.05%,68.22%,70.81%,71.45%,71.02%,65.58%,59.22%,56.46%,54.28%,50.40%,49.95%,45.01%,41.98%,37.73%,34.17%,33.76%,32.34%,31.27%,30.19%,29.10%,28.07%,27.04%,26.00%,24.99%,24.03%,23.17%,22.41%,21.71%,21.03%,20.36%,19.69%,19.05%,18.38%,17.70%
