,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,833","77,938","120,124","102,119","127,163","158,422","181,784","209,975","224,132","218,695","266,599","290,187","314,125","443,310","329,579","283,631","356,370","410,705","404,956","424,418","479,958","523,772","642,857","604,016","659,620","651,490","643,198","630,556","636,307","622,521","618,199","623,507","631,031","633,492","643,782","657,347","662,561","661,539","667,950","664,738","654,791","641,485","630,154","623,791"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Tanzania,,12.50%,11.63%,75.38%,21.38%,23.07%,18.99%,26.18%,21.62%,17.95%,14.98%,17.87%,12.10%,9.92%,9.73%,12.93%,12.58%,17.05%,15.43%,14.10%,11.17%,12.55%,13.75%,13.47%,11.06%,13.70%,13.23%,8.27%,8.15%,8.20%,9.48%,9.36%,8.39%,7.60%,9.85%,8.45%,5.73%,5.51%,6.70%,7.25%,1.54%,7.62%,0.06%,0.89%,0.05%,5.22%,6.06%,5.49%,1.48%,2.30%,2.85%,4.67%,0.79%,0.41%,0.41%,0.41%,1.42%,2.68%,6.18%,5.29%,4.06%,4.24%,5.29%,5.04%,0.01%,-1.54%,3.27%,5.03%,3.23%,3.02%,2.86%,2.66%,2.42%,2.16%,2.02%,1.93%,1.81%,1.65%,1.57%,1.51%,1.44%,1.36%,1.29%,1.25%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01%,15.86%,13.52%,9.13%,8.47%,13.01%,13.57%,12.90%,8.98%,8.91%,9.29%,10.38%,6.71%,6.74%,5.23%,4.42%,5.28%,6.05%,7.98%,7.08%,6.12%,6.11%,6.97%,5.69%,5.54%,4.92%,4.48%,4.20%,3.95%,3.56%,3.34%,3.19%,3.03%,2.81%,2.69%,2.60%,2.48%,2.32%,2.24%,2.16%,2.06%,1.94%,1.84%,1.78%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70%,15.96%,11.39%,7.37%,5.94%,11.49%,12.33%,11.42%,6.35%,7.09%,7.06%,8.89%,3.50%,1.39%,1.91%,1.85%,2.23%,2.99%,7.28%,5.87%,3.66%,3.50%,3.97%,2.69%,2.15%,1.50%,1.11%,1.06%,0.78%,0.37%,0.17%,-0.01%,-0.28%,-0.69%,-0.96%,-1.21%,-1.47%,-1.80%,-2.04%,-2.15%,-2.24%,-2.38%,-2.50%,-2.60%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62%,15.52%,20.71%,14.59%,15.85%,17.05%,16.71%,16.54%,15.15%,12.84%,13.87%,13.26%,12.67%,15.87%,10.18%,7.95%,9.26%,9.76%,8.77%,8.45%,8.81%,8.84%,9.97%,8.52%,8.57%,7.80%,7.14%,6.53%,6.19%,5.70%,5.36%,5.13%,4.94%,4.72%,4.58%,4.47%,4.32%,4.13%,4.01%,3.83%,3.64%,3.44%,3.26%,3.13%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",0,Total,,Tanzania,,,,,167.33%,192.44%,211.72%,124.28%,124.72%,115.39%,108.13%,94.43%,79.20%,67.01%,59.38%,52.69%,53.36%,63.30%,71.78%,73.57%,71.38%,64.79%,62.39%,61.48%,61.33%,62.98%,62.23%,54.80%,50.74%,43.45%,38.70%,40.09%,40.41%,39.64%,40.11%,38.94%,35.53%,32.90%,29.09%,27.67%,22.62%,25.06%,17.28%,10.32%,8.70%,6.28%,12.65%,17.79%,19.47%,16.15%,12.63%,11.75%,10.99%,8.94%,6.36%,2.02%,2.66%,4.98%,11.02%,16.42%,19.45%,21.27%,20.25%,19.97%,15.30%,8.90%,6.81%,6.80%,10.24%,15.35%,14.89%,12.30%,11.42%,10.49%,9.59%,8.81%,8.16%,7.62%,7.14%,6.70%,6.31%,6.01%,5.72%,5.45%
