,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
181,"Market penetration, unique subscribers",1581,Mobile internet,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58%,0.66%,0.73%,0.84%,1.41%,2.03%,2.64%,3.41%,3.78%,4.15%,4.54%,4.88%,5.76%,6.60%,7.59%,8.85%,9.43%,9.93%,10.20%,10.73%,11.49%,11.81%,12.32%,13.01%,13.69%,14.40%,15.14%,15.89%,16.63%,17.37%,18.12%,18.89%,19.65%,20.40%,21.15%,21.92%,22.69%,23.46%,24.24%,25.04%,25.85%,26.68%,27.52%,28.38%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58%,0.66%,0.73%,0.84%,1.41%,2.03%,2.64%,3.41%,3.78%,4.15%,4.54%,4.88%,5.76%,6.60%,7.59%,8.85%,9.43%,9.93%,10.11%,10.59%,11.19%,11.34%,11.48%,11.78%,12.06%,12.38%,12.71%,13.04%,13.36%,13.66%,13.96%,14.27%,14.58%,14.87%,15.17%,15.46%,15.74%,15.99%,16.23%,16.45%,16.64%,16.78%,16.90%,16.99%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10%,0.15%,0.30%,0.46%,0.85%,1.23%,1.62%,2.02%,2.43%,2.85%,3.27%,3.71%,4.16%,4.62%,5.07%,5.53%,5.99%,6.46%,6.95%,7.46%,8.01%,8.59%,9.22%,9.90%,10.62%,11.39%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",0,Total,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,459,830","2,654,925","2,799,698","3,087,730","3,325,098","3,583,327","3,729,900","4,068,922","4,219,616","4,357,255","4,520,029","4,790,997","4,654,824","4,685,085","4,846,222","5,188,357","5,559,322","5,865,474","5,963,878","6,272,095","6,706,289","6,808,234","6,855,076","7,128,450","7,432,823","7,736,965","8,044,118","8,358,411","8,677,434","8,993,733","9,316,544","9,644,702","9,974,528","10,299,390","10,629,930","10,966,067","11,304,012","11,636,480","11,974,794","12,319,304","12,666,355","13,011,993","13,359,981","13,714,178"
190,"Connections, including cellular M2M",0,Total,94,Airtel (Bharti Airtel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,289,323","1,382,842","1,486,829","1,595,880","1,708,673","1,825,165","1,947,620","2,074,644","2,205,165","2,338,303","2,474,429","2,614,051","2,556,551","2,582,378","2,655,279","2,774,157","2,889,045","3,022,665","3,167,256","3,311,008","3,450,447","3,588,514","3,729,386","3,872,699","4,017,031","4,160,934","4,305,598","4,452,245","4,599,446","4,744,096","4,890,572","5,038,440","5,186,081","5,330,486","5,476,337","5,623,493","5,770,345","5,913,769","6,058,519","6,204,553","6,350,275","6,494,121","6,637,677","6,782,515"
190,"Connections, including cellular M2M",0,Total,3004,Sotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,875","48,750","55,625","62,500","71,875","81,250","90,625","100,000","111,500","122,952","134,600","146,946","143,273","144,707","151,943","162,200","173,277","186,505","201,059","215,726","230,181","244,709","259,695","275,051","290,618","306,264","322,117","338,312","354,676","370,864","387,402","404,283","421,348","438,219","455,406","472,866","490,405","507,662","525,203","543,024","560,929","578,727","596,613","614,784"
190,"Connections, including cellular M2M",0,Total,957,Tigo (Millicom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,128,632","1,223,333","1,257,244","1,429,350","1,544,550","1,676,912","1,691,655","1,894,278","1,902,951","1,896,000","1,911,000","2,030,000","1,955,000","1,958,000","2,039,000","2,252,000","2,497,000","2,656,304","2,595,563","2,745,361","3,025,661","2,975,011","2,865,995","2,980,700","3,125,174","3,269,767","3,416,403","3,567,854","3,723,312","3,878,773","4,038,570","4,201,979","4,367,099","4,530,685","4,698,187","4,869,708","5,043,262","5,215,049","5,391,072","5,571,727","5,755,151","5,939,145","6,125,691","6,316,879"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
